measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Taiwan,Both,All ages,Depressive disorders,Rate,2020,3114.91330690732,3697.8616835409402,2633.67854721305
Prevalence,Taiwan,Both,All ages,Depressive disorders,Rate,2021,3140.86730652034,3723.2896002253497,2647.35478222104
Prevalence,Papua New Guinea,Both,All ages,Depressive disorders,Rate,2020,2531.91799882307,3484.39747514009,1835.894741096
Prevalence,Papua New Guinea,Both,All ages,Depressive disorders,Rate,2021,2951.99909537412,4041.24728248318,2121.99016471585
Prevalence,Indonesia,Both,All ages,Depressive disorders,Rate,2020,2465.65499476843,3100.4678022264297,1998.66857588621
Prevalence,Indonesia,Both,All ages,Depressive disorders,Rate,2021,2529.18623415359,3176.23903020697,2038.07160201376
Prevalence,Philippines,Both,All ages,Depressive disorders,Rate,2020,2579.73970239102,3086.70815433162,2172.41632972965
Prevalence,Philippines,Both,All ages,Depressive disorders,Rate,2021,2771.04938390682,3314.52966598304,2315.8586574932897
Prevalence,Lao People's Democratic Republic,Both,All ages,Depressive disorders,Rate,2020,2347.01126822814,3001.53937366769,1878.5796064539302
Prevalence,Lao People's Democratic Republic,Both,All ages,Depressive disorders,Rate,2021,2474.92374385902,3141.8677981161104,1964.3716218173402
Prevalence,Viet Nam,Both,All ages,Depressive disorders,Rate,2020,2516.4784333908697,3080.42260855928,2106.23228653949
Prevalence,Viet Nam,Both,All ages,Depressive disorders,Rate,2021,2660.73993590328,3259.6474512911295,2222.6964705963596
Prevalence,Sri Lanka,Both,All ages,Depressive disorders,Rate,2020,2848.44414105642,3598.32600040873,2345.64987346635
Prevalence,Sri Lanka,Both,All ages,Depressive disorders,Rate,2021,3080.1816204104002,3858.7525927624697,2519.31886135867
Prevalence,Cambodia,Both,All ages,Depressive disorders,Rate,2020,2656.94064912156,3167.0693881646603,2260.01466986185
Prevalence,Cambodia,Both,All ages,Depressive disorders,Rate,2021,2780.70269030284,3314.94364500418,2356.83851946264
Prevalence,Thailand,Both,All ages,Depressive disorders,Rate,2020,2650.88297524599,3269.83833646262,2184.54807420021
Prevalence,Thailand,Both,All ages,Depressive disorders,Rate,2021,2802.65111105285,3463.1596346719098,2294.99475902496
Prevalence,Democratic People's Republic of Korea,Both,All ages,Depressive disorders,Rate,2020,3966.6268832219603,4971.51530968695,3262.06192777094
Prevalence,Democratic People's Republic of Korea,Both,All ages,Depressive disorders,Rate,2021,3943.25672760965,4894.99501963466,3240.81219758019
Prevalence,China,Both,All ages,Schizophrenia,Rate,2020,376.8985793741,444.6958169573,315.17720249917
Prevalence,China,Both,All ages,Schizophrenia,Rate,2021,376.93210865246,443.68243623813004,315.11671634200997
Prevalence,China,Both,All ages,Depressive disorders,Rate,2020,3979.6458376871096,4507.42370368247,3590.1694650673403
