measure,location,sex,age,cause,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Norway,Both,All ages,Mental disorders,Rate,2020,2314.377163722418,3003.9110169298606,1688.2949525597724
DALYs (Disability-Adjusted Life Years),Taiwan,Both,All ages,Mental disorders,Rate,2020,1615.777069548114,2071.1422567686545,1177.0823681805798
DALYs (Disability-Adjusted Life Years),Kyrgyzstan,Both,All ages,Mental disorders,Rate,2020,1549.7097970855962,2066.069212545647,1104.9825771974013
DALYs (Disability-Adjusted Life Years),Bangladesh,Both,All ages,Mental disorders,Rate,2020,2023.8556322494205,2690.435889686934,1453.1360546681728
DALYs (Disability-Adjusted Life Years),Republic of Moldova,Both,All ages,Mental disorders,Rate,2020,1904.4632759145477,2492.800961818756,1393.5236263652796
DALYs (Disability-Adjusted Life Years),Eswatini,Both,All ages,Mental disorders,Rate,2020,1894.853380133641,2548.8080103084285,1362.6789223824
DALYs (Disability-Adjusted Life Years),Puerto Rico,Both,All ages,Mental disorders,Rate,2020,2676.1505515062113,3484.5151513828228,1975.5870297921863
DALYs (Disability-Adjusted Life Years),Iraq,Both,All ages,Mental disorders,Rate,2020,2221.541780265878,2938.222657057133,1553.000528643935
DALYs (Disability-Adjusted Life Years),United States of America,Both,All ages,Mental disorders,Rate,2021,2542.6844107571155,3287.987074084712,1920.598947880636
DALYs (Disability-Adjusted Life Years),Finland,Both,All ages,Mental disorders,Rate,2020,1998.7083905513718,2549.5236198687708,1474.3052544053073
DALYs (Disability-Adjusted Life Years),Belize,Both,All ages,Mental disorders,Rate,2020,2273.8464799787816,3010.270601261674,1617.8892973136092
DALYs (Disability-Adjusted Life Years),Bermuda,Both,All ages,Mental disorders,Rate,2020,2466.7280511949252,3237.7330703044154,1797.4009168528496
DALYs (Disability-Adjusted Life Years),Zimbabwe,Both,All ages,Mental disorders,Rate,2021,1761.9825305005745,2409.5485679305657,1244.4349107900234
DALYs (Disability-Adjusted Life Years),Japan,Both,All ages,Mental disorders,Rate,2021,1978.871831818144,2517.1800251880377,1488.4879997353958
DALYs (Disability-Adjusted Life Years),Slovenia,Both,All ages,Mental disorders,Rate,2021,2034.5759429951659,2673.8640690727098,1506.243127101645
DALYs (Disability-Adjusted Life Years),Papua New Guinea,Both,All ages,Mental disorders,Rate,2020,1540.3742222597507,2091.277761894043,1091.688633484826
DALYs (Disability-Adjusted Life Years),Maldives,Both,All ages,Mental disorders,Rate,2020,1456.1303407352489,1850.7768087657341,1071.8259925509824
DALYs (Disability-Adjusted Life Years),Viet Nam,Both,All ages,Mental disorders,Rate,2021,1339.2710810878982,1720.673033810602,976.4579970338904
DALYs (Disability-Adjusted Life Years),Haiti,Both,All ages,Mental disorders,Rate,2020,2190.985004934288,2930.0809748307165,1567.4259092297207
DALYs (Disability-Adjusted Life Years),Mongolia,Both,All ages,Mental disorders,Rate,2021,1683.9389818368386,2237.00672818694,1189.7256965028666
DALYs (Disability-Adjusted Life Years),Andorra,Both,All ages,Mental disorders,Rate,2020,2647.118324336602,3378.9333701457986,1940.4653064672543
DALYs (Disability-Adjusted Life Years),Israel,Both,All ages,Mental disorders,Rate,2020,2360.453801820474,3108.8893935059355,1691.2569774956553
DALYs (Disability-Adjusted Life Years),Republic of Korea,Both,All ages,Mental disorders,Rate,2020,1943.79462715705,2435.897590151279,1467.5482694497443
DALYs (Disability-Adjusted Life Years),Palestine,Both,All ages,Mental disorders,Rate,2021,2229.6559845372726,2880.8362591809664,1597.5434568237772
DALYs (Disability-Adjusted Life Years),Türkiye,Both,All ages,Mental disorders,Rate,2021,2286.6566133746687,2982.7711260923306,1679.239428617659
