Country,Social Media Users (%)
Abkhazia,49.0
Afghanistan,11.2
Aland Islands,73.6
Albania,55.6
Algeria,56.5
American Samoa,61.7
Andorra,69.8
Angola,9.0
Anguillia,79.7
Antigua & Barbuda,68.1
Argentina,79.3
Armenia,60.7
Aruba,93.5
Australia,79.9
Azerbajian,42.2
Bahamas,65.8
Bahrain,87.0
Bangladesh,27.2
Barbados,69.6
Belarus,41.3
Belgium,76.0
Belize,64.8
Benin,13.0
Bermuda,74.0
Bhutan,72.2
Bolivia,69.8
"Bonaire, ST. Eaustatius & Saba",76.0
Bosnia & Herzegovina,55.0
Botswana,50.5
Brazil,70.3
British Virgin Islands,82.4
Brunei,99.0
Bulgaria,62.1
Burkina Faso,9.4
Burundi,5.7
Cabo Verde,53.7
Cambodia,71.3
Cameroon,16.0
Canada,84.9
Cayman Islands,90.8
Central African Public,2.9
Chad,2.8
Chile,83.5
China,64.6
Christmas Island,65.1
Cocos (Keeling) Island,73.5
Colombia,76.4
Comoros,22.8
Democratic Republic of Congo,4.4
Republic of Congo,15.2
Cook Islands,68.3
Costa Rica,76.2
Cote Divoire,22.1
Croatia,68.4
Cuba,55.5
Curacao,79.1
Cyprus,82.5
Czechia,69.0
Denmark,83.6
Djibouti,26.1
Dominica,58.3
Domican Republic,64.2
Ecuador,78.8
Egypt,47.4
El Salvador,66.1
Equatorial Guinea,9.1
Eritrea,0.2
Estonia,74.4
Eswatini,30.0
Ethiopia,5.8
Falkland Islands,94.1
Faroe Islands,81.7
Fiji,67.8
Finland,80.4
France,75.9
French Guiana,43.0
French Polynesia,74.5
Gabon,37.7
Gambia,17.5
Georgia,77.8
Germany,78.7
Ghana,26.1
Gibraltar,80.1
Greece,71.2
Greenland,79.2
Grenada,66.5
Guadeloupe,62.5
Guam,88.5
Guatemala,51.4
Guernsey,69.8
Guinea,15.0
Guinea-bissau,14.1
Guyana,63.4
Haiti,20.0
Honduras,48.1
Hong Kong,85.6
Hungary,73.5
Iceland,84.7
India,32.3
Indonesia,61.8
Iran,42.6
Iraq,61.4
Ireland,76.4
Isle of Man,70.4
Israel,78.1
Italy,67.9
Jamaica,50.6
Japan,74.3
Jersey,69.6
Jordan,61.5
Kazakhstan,63.5
Kenya,20.2
Kiribati,44.0
North Korea,
South Korea,89.3
Kosovo,56.9
Kuwait,98.8
Krygyzstan,48.7
Laos,49.1
Latvia,73.5
Lebanon,64.3
Lesotho,24.6
Liberia,13.1
Libya,86.8
Liechtenstein,39.3
Lithuania,75.4
Luxembourg,65.0
Macau,64.2
Madagascar,10.7
Malawi,3.5
Malaysia,86.0
Maldives,70.1
Mali,10.2
Malta,95.0
Marshall islands,38.7
Martinique,64.0
Mauritania,19.9
Mauritius,73.1
Mayotte,35.1
Mexico,77.2
Micronesia,38.1
Moldova,42.2
Monaco,33.0
Mongolia,78.7
Montenegro,68.5
Montserrat,60.1
Morocco,59.3
Mozambique,9.5
Myanmar,53.1
Namibia,31.2
Nauru,84.8
Nepal,44.2
Netherlands,88.0
New Caledonia,69.7
New Zealand,82.0
Nicaragua,52.5
Niger,2.4
Nigeria,15.8
Niue,61.9
Norfolk Is.,45.8
North Macedonia,57.6
Northern Mariana Is.,65.8
Norway,83.2
Oman,80.2
Pakistan,20.6
Palau,98.7
Palestine,60.1
Panama,64.4
Papua New Guinea,10.3
Paraguay,59.9
Peru,81.4
Philippines,80.7
Pitcairn Islands,
Poland,68.5
Portugal,76.6
Puerto Rico,81.6
Qatar,98.8
Reunion,67.9
Romania,62.6
Russian Federation,67.8
Rwanda,6.5
St. Barthelemy,56.6
St. Helena,37.8
St. Kitts & Nevis,75.0
St. Lucia,59.8
St. Martin,46.2
St. Pierre & Miquelon,84.7
St. Vincent & The Grenadines,70.2
Samoa,70.3
San Marino,44.2
Sao Tome & Principe,30.7
Saudi Arabia,79.3
Senegal,23.0
Serbia,52.8
Seychelles,76.0
Sierra Leone,10.5
Singapore,84.4
St. Maarten,90.4
Slovakia,73.8
Slovenia,69.8
Solomon Islands,18.7
Somalia,13.0
South Africa,41.9
South Sudan,4.0
Spain,80.0
Sri Lanka,36.8
Sudan,
Suriname,66.2
Svalbard & Jan Mayen,20.4
Swaziland,
Sweden,82.1
Swizterland,81.8
Syria,
Taiwan,82.6
Tajikistan,10.4
Tanzania,8.9
Thailand,78.7
Timore-Leste,
Togo,10.6
Tokelau,36.8
Tonga,72.5
Transnistria,25.6
Trinidad & Tobago,67.1
Tunisia,69.0
Turkey,70.8
Turkmenistan,2.5
Turks & Caicos Islands,87.2
Tuvalu,54.0
Uganda,7.3
Ukraine,58.9
U.A.E.,99.0
United Kingdom.,77.9
United States of America,72.3
U.S. Virgin Is.,31.6
Uruguay,83.3
Uzbekistan,13.6
Vanuatu,35.4
Vatican,
Venezuela,49.0
Vietnam,73.7
Wallis & Futuna,53.7
Western Sahara,62.9
Yemen,10.6
Zambia,13.9
Zimbabwe,8.7
